height,weight,label
187,88,high
196,65,low
182,37,low
138,86,high
155,57,ok
170,41,low
159,76,high
174,85,high
130,35,ok
193,82,ok
124,66,high
186,86,ok
168,48,low
161,36,low
152,91,high
140,43,ok
152,98,high
128,79,high
164,94,high
175,74,ok
173,65,ok
189,39,low
147,95,high
166,41,low
178,55,low
156,87,high
126,84,high
164,68,high
130,50,high
169,76,high
129,74,high
151,39,low
168,49,low
193,83,ok
126,63,high
132,56,high
124,75,high
146,87,high
178,98,high
125,45,high
195,65,low
191,49,low
166,65,ok
179,83,high
194,74,ok
134,35,ok
124,55,high
166,85,high
123,51,high
170,63,ok
169,91,high
142,68,high
123,80,high
144,43,ok
160,76,high
136,68,high
120,59,high
181,37,low
180,50,low
149,62,high
178,64,ok
128,56,high
129,92,high
138,93,high
191,52,low
185,66,ok
146,95,high
173,52,low
144,74,high
158,60,ok
171,51,low
137,86,high
122,76,high
183,91,high
170,67,ok
181,63,ok
121,73,high
129,41,ok
133,67,high
162,72,high
139,73,high
133,71,high
199,62,low
183,36,low
180,53,low
140,55,high
130,83,high
136,60,high
158,86,high
125,39,ok
154,56,ok
135,82,high
152,98,high
134,62,high
169,80,high
161,78,high
198,48,low
148,51,ok
186,48,low
186,52,low
175,60,ok
147,73,high
159,54,ok
124,91,high
186,96,high
196,63,low
198,80,ok
172,95,high
131,100,high
200,83,ok
124,55,high
182,72,ok
164,54,ok
126,47,high
161,89,high
167,43,low
182,88,high
144,72,high
146,86,high
192,59,low
123,57,high
166,51,ok
155,75,high
151,75,high
196,84,ok
161,100,high
181,43,low
172,47,low
199,84,ok
172,46,low
185,42,low
200,55,low
187,94,high
152,66,high
191,51,low
161,95,high
200,61,low
162,60,ok
160,92,high
137,94,high
196,92,ok
190,99,high
188,69,ok
158,44,low
146,71,high
179,83,high
187,57,low
123,94,high
191,43,low
193,58,low
196,56,low
158,80,high
139,88,high
181,49,low
149,41,low
190,47,low
164,98,high
194,36,low
146,46,ok
153,77,high
151,73,high
156,99,high
187,84,ok
148,68,high
125,77,high
134,74,high
183,78,ok
138,59,high
179,91,high
133,47,high
163,72,high
166,65,ok
190,83,ok
135,35,ok
168,92,high
168,38,low
199,82,ok
182,77,ok
181,46,low
179,94,high
124,87,high
135,93,high
160,65,high
124,64,high
161,54,ok
172,70,ok
170,86,high
144,35,low
169,37,low
181,38,low
150,42,ok
163,51,ok
152,35,low
183,54,low
178,48,low
120,72,high
166,72,high
172,68,ok
145,76,high
157,71,high
185,69,ok
146,90,high
137,57,high
176,77,ok
181,51,low
136,63,high
188,99,high
156,97,high
135,43,ok
191,85,ok
181,95,high
181,99,high
145,83,high
190,73,ok
141,41,ok
138,93,high
147,45,ok
129,97,high
161,42,low
180,50,low
156,72,high
199,67,low
122,78,high
141,60,high
165,45,low
166,54,ok
191,82,ok
192,42,low
127,92,high
137,70,high
196,85,ok
178,74,ok
136,96,high
176,40,low
132,44,high
122,92,high
157,96,high
169,40,low
152,55,ok
182,46,low
121,80,high
187,61,low
168,45,low
144,60,high
153,67,high
120,42,high
186,88,high
167,57,ok
170,81,high
169,81,high
146,73,high
186,49,low
154,71,high
155,98,high
144,84,high
121,53,high
138,84,high
140,58,high
166,38,low
134,71,high
163,76,high
159,81,high
176,52,low
176,79,high
149,96,high
135,80,high
152,43,ok
199,75,ok
160,95,high
135,93,high
128,46,high
150,67,high
187,71,ok
167,81,high
156,36,low
128,83,high
122,93,high
139,43,ok
169,83,high
142,86,high
182,40,low
145,81,high
177,61,ok
184,68,ok
161,91,high
155,44,low
174,97,high
190,49,low
161,48,ok
140,93,high
174,55,low
152,66,high
141,60,high
193,80,ok
138,75,high
179,86,high
192,43,low
153,92,high
147,37,low
191,38,low
122,98,high
168,38,low
169,98,high
166,79,high
149,63,high
170,86,high
126,77,high
189,91,high
200,83,ok
190,61,low
195,81,ok
173,99,high
121,97,high
199,39,low
125,78,high
152,62,high
141,51,high
153,68,high
168,65,ok
179,79,ok
125,35,ok
182,95,high
187,38,low
192,73,ok
158,41,low
148,58,high
187,47,low
183,63,ok
183,72,ok
126,73,high
167,41,low
131,56,high
136,78,high
156,45,low
169,36,low
123,44,high
188,86,ok
188,54,low
160,62,ok
148,70,high
134,100,high
157,62,high
159,69,high
152,91,high
132,50,high
189,78,ok
182,53,low
172,65,ok
157,100,high
146,71,high
134,61,high
152,86,high
180,57,low
144,35,low
182,55,low
147,97,high
153,59,high
188,82,ok
178,46,low
134,64,high
127,95,high
131,97,high
190,82,ok
162,53,ok
160,77,high
156,73,high
163,63,ok
144,79,high
174,47,low
179,63,ok
176,55,low
160,71,high
140,47,ok
122,75,high
176,76,ok
123,80,high
128,89,high
178,39,low
152,80,high
156,64,high
145,45,ok
192,93,high
164,56,ok
200,90,ok
160,60,ok
127,94,high
185,88,high
143,38,ok
129,84,high
151,45,ok
153,53,ok
142,74,high
132,81,high
141,59,high
164,56,ok
130,49,high
154,67,high
167,35,low
135,59,high
157,77,high
194,46,low
133,100,high
185,74,ok
196,70,low
197,58,low
156,85,high
176,72,ok
167,81,high
150,60,high
138,38,ok
144,57,high
166,56,ok
133,92,high
133,48,high
121,91,high
182,41,low
173,70,ok
127,98,high
199,58,low
136,51,high
179,48,low
197,55,low
155,46,ok
125,93,high
125,57,high
189,55,low
134,79,high
165,54,ok
123,95,high
163,66,ok
191,88,ok
150,43,ok
125,61,high
175,87,high
187,63,low
189,93,high
159,100,high
199,50,low
140,46,ok
145,49,ok
186,98,high
168,97,high
135,38,ok
134,69,high
138,56,high
194,67,low
195,39,low
146,46,ok
165,61,ok
187,70,ok
175,75,ok
185,40,low
159,74,high
177,57,low
138,82,high
121,62,high
188,67,ok
151,98,high
196,99,high
135,100,high
176,75,ok
185,81,ok
186,99,high
146,83,high
192,70,ok
128,46,high
172,74,high
167,67,ok
182,69,ok
185,83,ok
175,88,high
171,44,low
145,79,high
142,78,high
136,59,high
140,63,high
129,99,high
194,96,high
197,59,low
186,44,low
188,72,ok
153,82,high
197,48,low
141,70,high
166,47,low
187,59,low
182,55,low
179,83,high
135,44,ok
136,54,high
175,75,ok
172,89,high
169,77,high
198,100,high
140,60,high
188,59,low
140,37,ok
123,62,high
126,76,high
172,67,ok
167,91,high
135,61,high
197,40,low
145,84,high
144,61,high
189,59,low
122,63,high
137,99,high
143,92,high
196,78,ok
140,94,high
135,61,high
125,38,ok
155,74,high
147,78,high
143,40,ok
185,62,low
121,45,high
197,60,low
148,56,high
193,41,low
165,65,ok
168,51,low
196,52,low
152,45,ok
173,37,low
141,37,ok
186,80,ok
185,65,ok
197,38,low
133,91,high
150,96,high
192,88,ok
167,62,ok
130,96,high
194,93,ok
123,99,high
127,68,high
155,84,high
178,91,high
191,92,high
145,70,high
136,50,high
159,38,low
195,83,ok
121,93,high
120,66,high
165,82,high
170,46,low
191,63,low
173,37,low
161,96,high
162,67,high
166,66,ok
128,60,high
158,47,ok
162,48,low
191,64,low
145,87,high
166,67,ok
187,37,low
164,74,high
158,36,low
184,53,low
158,36,low
129,87,high
146,61,high
152,62,high
134,69,high
133,70,high
187,54,low
157,41,low
177,50,low
123,65,high
146,47,ok
135,54,high
161,57,ok
191,50,low
156,55,ok
150,82,high
124,39,high
180,95,high
154,95,high
175,91,high
155,35,low
130,59,high
184,57,low
177,49,low
172,37,low
183,44,low
151,84,high
155,98,high
157,66,high
192,47,low
125,99,high
200,70,low
187,38,low
120,97,high
192,80,ok
140,71,high
126,41,high
159,64,high
185,43,low
181,57,low
155,94,high
176,94,high
142,87,high
191,35,low
192,50,low
132,67,high
183,84,high
170,70,ok
173,54,low
177,63,ok
149,61,high
181,55,low
184,35,low
198,71,low
173,43,low
173,82,high
200,76,ok
174,79,high
128,64,high
149,49,ok
145,80,high
162,65,ok
123,74,high
120,88,high
136,67,high
133,78,high
182,37,low
120,94,high
180,93,high
189,47,low
161,95,high
126,61,high
179,35,low
155,52,ok
199,74,ok
166,50,low
120,65,high
178,68,ok
153,100,high
148,86,high
151,49,ok
192,67,low
172,47,low
197,36,low
152,70,high
158,95,high
186,71,ok
172,53,low
186,67,ok
172,56,ok
144,60,high
149,80,high
158,68,high
169,87,high
158,98,high
161,91,high
169,94,high
122,59,high
184,71,ok
127,78,high
193,90,ok
196,91,ok
